Month,Date,Year,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
11,11/20/00,2000,12:22,"Miami, Florida",American Airlines,"Miami, FL - Port au Prince",Airbus A300-600R,114,1,"After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac."
11,11/25/00,2000,6:04,"Cordoba, Spain",5oral Executive Jet,Malaga - Cordoba,Aerospatiale SN-601 Corvette,2,1,"During the approach, the plane, on a positioning flight, hit electrilines, then the ground and finally an unoccupied building."
12,12/11/00,2000,14:45,"Near Sumacal, Beni, BO",Servicio Aereo Manchupo,Cashaschanes - Sumacal,Cessna 206,6,6,"Destabilized approach, attempted to establish runway alignment, insufficient altitude, struck a tree. The aircraft crashed and caught fire."
1,1/4/01,2001,,"Zheng Zou AB, China",Military - People's Liberation Army,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16,16,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.
1,1/8/01,2001,,"Near Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,Timika - Jayapura,CASA 212-MP Aviocar 200,9,9,"Struck Timika Peak at 11,800 ft. shortly after taking off."
1,1/14/01,2001,17:29,"Near Lake Point, Utah",Skydive Salt Lake - Charter,Skydiving,Beech A90 King Air,9,9,"Crashed into the Great Salt Lake with skydivers during a final approach to Tooele. The pilot's exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist, an inadequately equipped airplane for flying in instrument meteorological conditions, and the pilot's overconfidence in his personal ability in that he had reportedly done this on two previous occasions."
1,1/23/01,2001,21:35,"Eider Point, Alaska",MajestiAir Cargo,,Douglas C-47A-30-DK (DC-3C),2,2,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs. Factors in the accident were dark night conditions, and the first officer's impairment from drugs."
1,1/25/01,2001,18:15,"Ciudad Bolivar, Venezuela",Rutaca Airlines,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),24,24,The plane caught fire shortly after taking off from Ciudad Bolivar where it had made a refueling stop. The pilot was unable to tell the tower what was wrong before rolling inverted and crashing into a neighborhood south of the city.
1,1/27/01,2001,17:37,"Byers, Colorado",North Bay Charter,"Broomfield, CO - Stillwater, OK",Beech King Air 200 Catpass,10,10,
1,1/31/01,2001,16:50,"El Yopal, Colombia",Lineas Aereas Suramericanas,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,6,3,"While attempting to land at Mití_, the cargo plane's landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final, it struck the ground, crashed in a meadow and caught fire."
2,2/8/01,2001,19:20,"Beaver Island, Minnesota",Northern Illinois Flight Center,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,6,2,"Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling."
2,2/8/01,2001,15:40,"Nurnberg, Germany",E.A.S. Aeroservizi,"Nurnberg - Rome, Italy",Learjet 35A,3,3,"The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew  so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded."
2,2/10/01,2001,,"Jakobkondre, Suriname",Gum Air Charter,Paramaribo - Jakobkondre,GAF Nomad N24A,10,10,"After losing radio contact with the airport, the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre."
2,2/27/01,2001,17:30,"Near Granton Harbour, Scotland",Loganair,Edinburgh - Belfast,Shorts 360-100,2,2,Double engine failure on take off cause the cargo plane to ditch in Firth of the Fourth estuary. Icing.
3,3/2/01,2001,,"Rio Azul Farm, Brazil",Air taxi - Cuiaba Air Taxi,,Beech BE-55,6,6,Just after rising the plane stalled while making a turn and crashed and burned.
3,3/3/01,2001,14:48,"Bangkok, Thailand",Thai Airways,Bangkok - Chiang Mai.,Boeing B-737-4D7,5,1,"The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat, and were running nonstop prior to the explosion."
3,3/3/01,2001,9:55,"Unadilla, Georgia",Military - Florida Army National Guard,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA",Short 360,21,21,"The plane was on a flight from Florida to Oceana Naval Air Station in Virginia when witnesses observed the plane gliding down and losing altitude until it impacted the ground, exploding into flames. Heavy rain and wind were present in the area at the time of the accident. Weight imbalances in the aircraft were the primary cause of the accident as the cargo shifted when the pilot  got up and walked through the plane toward the rear of the plane, unbalancing the aircraft just as it hit severe turbulence. This led to the loss of control and break-up of the aircraft."
3,3/15/01,2001,,"Medina, Saudi Arabia",Vnukovo Airlines,"Istanbul, Turky - Moscow, Russia",Tupolev 154M,174,3,"The plane was hijacked and flown to Medina, Saudi Arabia. The plane was stormed and three people killed."
3,3/17/01,2001,10:00,"Near Lubango, Angola",Sociedade de Aviacao Ligeira Charter,Luanda - Lubango,Beechcraft 1900C,17,16,"The aircraft crashed into a mountain at 6,500 ft. while approaching Lubango to land. The weather at the time was cloudy with rain."
3,3/24/01,2001,16:30,"Gustavia, St. Barthí©lí©my, French West Indies",Air Caraibes,St. Maarten - St. Barthí©lí©my,de Havilland Canada DHC-6 Twin Otter,19,19,The aircraft took off from Prinses Juliana Airport at St. Maarten for a 15 minute flight to St. Jean Airport at St. Barthí©lí©my. While attempting to land at St. Barthí©lí©my the plane veered sharply to the left and plunged straight down crashing into a house and bursting into flames. Weather was good at the time of the accident.
3,3/26/01,2001,18:25,"Jadura, Indonesia",Merpati Nusantara Airlines,Training,Fokker F-27 Friendship 500F,3,3,"While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left, crashed and caught fire."
3,3/29/01,2001,19:01,"Near Aspen, Colorado",Jetwingsco Inc. - Private Charter,Los Angeles - Aspen,Grummand Gulfstream III,18,18,"The aircraft was on final approach to Sardy Field when it crashed short of the runway into a hill northwest of the airport killing all aboard. The jet crashed into a small hillside 500 yards short of the runway, jumped over a culvert and crashed into another bluff exploding in flames. Wreckage was strewn over 100 yards. There was light snow and mist reported in the area at the time of the accident. The flight crew's operation of the airplane below the minimum descent altitude without an appropriate visual reference for the runway.  The crew was also under pressure to land before a landing curfew took effect."
4,4/2/01,2001,16:30,"Ashbaubenon, Wisconsin",Jet Wings,"Green Bay - Ft. Myers, Fl",Cessna 501 Citation I/SP,1,1,"The positioning flight crashed into a building shortly after taking off. The pilot not maintaining aircraft control while maneuvering after takeoff and the pilot's inadequate preflight planning and preparation. Factors relating to the accident were the pilot's diverted attention while maneuvering after takeoff, the pilot's attempted VFR flight into instrument meteorological conditions, the pilot's visual lookout not being possible, the low ceiling, snow, and fog, the airplane's low altitude, and the building."
4,4/4/01,2001,,"Adar Yeil, Sudan",Military - Sudan Air Force,Adar Yeil - Khartoum,Antonov AN-24,30,14,"The aircraft crashed on takeoff during a sandstorm, killing Sudan's deputy defense minister and 13 high-ranking military officers."
4,4/7/01,2001,15:30,"Thanh Tranh Village, Vietnam",SFC Vietnam - Charter - Full Account,Vinh - Dong Hoi - Hue,Mil Mi-18 Helicopter,16,16,"The helicopter, carrying members of Full Account, a group searching for the remains of U.S. troops missing in action during the Vietnam War, crashed into a mountainside in heavy fog."
4,4/28/01,2001,5:15,"Near Roque Perez, Argentina",Private - Techint  group,San Fernando - El Calafate,Cessna  208B Grand Caravan,10,10,"The aircraft crashed into rugged farm land, 120 miles south of Buenos Aires. Possible icing.  Agostino Rocca, president of the Buenos Aires-based Techint  construction group and German Sopena, managing editor of the Argentine newspaper La Nacion, were among those killed."
